err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
7.170486422017778583e-03,4.409023089238521716e-03,6.083888866879350391e-03,8.394939221645832464e-03,1.499116462164620800e-02,3.913771099942149959e-03,4.155274129990410396e-03,4.676075010128153547e-03,6.873010399843153088e-03,5.571402929229153297e-03
5.753951073683137921e-03,4.369273825677495900e-03,6.443454368253580776e-03,7.166964121010848537e-03,8.207770163425883586e-03,4.653198660741980977e-03,4.464231520911437177e-03,4.804369185651918492e-03,6.907713903979194672e-03,4.015327874918584589e-03
5.037461651817421240e-03,3.383143200560288343e-03,5.314903656707474153e-03,5.362391629706193645e-03,8.493702056198430134e-03,3.478523486721101649e-03,2.947412016009106749e-03,4.817209816506299452e-03,7.435018903256897065e-03,4.258004213261344477e-03
5.772646237231119498e-03,3.210992932034347890e-03,5.967010898798912923e-03,6.368621923367115932e-03,1.092298829432122864e-02,3.650093282282512123e-03,3.001843579263533974e-03,4.304578246277444495e-03,7.840568479032212351e-03,4.159605256055820890e-03
5.701605458895316926e-03,3.582820556202266551e-03,5.345239915108979806e-03,1.116455752495097188e-02,9.295661973871899991e-03,3.535119097441537673e-03,2.672158267601752821e-03,5.142764481725605775e-03,6.737884143514348383e-03,3.297864676493416584e-03
5.334947788660307673e-03,3.036494955790344698e-03,5.397177911499712911e-03,7.112827572195534395e-03,8.474054634141340095e-03,3.712176520768038258e-03,4.519168484945895563e-03,4.470190039457285283e-03,5.980373863812062443e-03,2.906161930039360616e-03
6.225234304398450519e-03,2.561176266896106855e-03,6.102078972797827031e-03,6.055793556283863011e-03,8.092924958495100601e-03,4.896837212810182909e-03,5.948158301324124771e-03,4.739296786345169148e-03,7.068234609718964181e-03,7.185568801944965112e-03
6.767776921517801823e-03,3.216245623863110865e-03,6.539218789734106523e-03,6.774438422233139759e-03,1.002887490852279358e-02,5.229265062571940986e-03,6.260408450236955649e-03,4.877598579612230090e-03,7.679213814749973055e-03,6.678610911836622456e-03
6.075460062239725068e-03,4.640323844790227373e-03,6.655297821797977881e-03,6.721545666179456861e-03,8.294412784087001195e-03,5.670764960961554267e-03,4.632515913987089382e-03,5.315303814588173345e-03,7.934806168777499766e-03,4.724787920585320038e-03
5.950375366945318684e-03,3.844080821827070091e-03,5.404627456356296891e-03,9.505251369556252938e-03,8.426339596501941295e-03,3.845490873733462770e-03,3.893820364869220001e-03,5.443369070953898992e-03,6.470660106164486530e-03,7.462326941948495794e-03
5.723043849039514616e-03,3.505203023197032541e-03,5.490002507826006843e-03,6.522591416107164676e-03,8.482445344677137442e-03,4.360992372745084097e-03,3.864006047350271398e-03,5.193930403714377281e-03,7.326002815932899231e-03,7.107158348560109300e-03
6.727303689802974739e-03,3.506934290132454699e-03,5.671588241071184693e-03,6.936891237342744133e-03,1.117845814820272836e-02,3.739354228861685534e-03,5.043701083743820299e-03,4.698165639224614887e-03,6.751490846689245373e-03,9.662808873067087537e-03
6.076772531461847870e-03,3.377742795398752055e-03,6.078827526481015223e-03,7.872517678981142894e-03,8.928432689774123271e-03,4.564710302058181020e-03,4.364995147697792351e-03,4.950857368885402607e-03,7.365128935615569694e-03,6.592896858566290978e-03
6.175335697195840669e-03,6.535247181159445189e-03,5.491123486092344859e-03,8.291394770781453094e-03,9.080762348733343453e-03,4.115168333044516222e-03,3.116057888027906619e-03,4.788699175061478762e-03,6.120218390959303312e-03,9.863982595020626826e-03
6.123851477701195041e-03,3.716018243261412068e-03,4.764011147445298446e-03,6.541878675190264912e-03,1.255812662295833181e-02,3.713112122154117300e-03,3.223773000928410216e-03,5.106402131474777582e-03,7.862089336951939497e-03,5.616892367322259480e-03
7.254535298363478345e-03,8.066405321869796891e-03,5.206474349665809326e-03,9.480620052270396711e-03,1.009445786528451357e-02,3.184808195564674173e-03,4.419603550475115390e-03,3.924744975867978415e-03,8.349691820084397323e-03,1.382758656724111281e-02
6.402046196314255429e-03,4.064153713867564056e-03,5.225818399125497539e-03,7.113809215903206355e-03,1.290568761408346886e-02,2.488118824295330878e-03,4.021788237183954000e-03,3.824687976625769630e-03,8.252063783646826703e-03,6.560319966410365147e-03
6.486417044059568891e-03,7.229966845318873056e-03,4.367906810902531280e-03,7.236333992333895786e-03,8.495932203125335438e-03,3.848752728848223517e-03,4.290920866125265409e-03,4.537603464859587751e-03,7.127728040171928993e-03,1.271503007334142017e-02
7.892221021058845251e-03,3.977934922136975096e-03,4.920502687169222775e-03,6.420407725317244137e-03,1.868402243918843367e-02,4.721990552405288741e-03,4.588383194598934754e-03,4.647232907478514481e-03,6.171944607878272412e-03,5.031326847200679429e-03
6.180737654172808321e-03,3.588515059379020818e-03,5.365315031270486042e-03,6.155928461851459602e-03,9.061589914296973303e-03,5.176076793072298746e-03,4.617667726269297952e-03,4.578246123800316578e-03,7.311133721488376029e-03,8.627905268249753956e-03
